Experiment_Id,Toss_Result
892,0
893,0
894,1
895,0
896,0
897,0
898,0
899,0
900,1
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,1
909,0
910,1
911,1
912,0
913,0
914,1
915,1
916,1
917,0
918,0
919,1
920,0
921,0
922,1
923,0
924,1
925,1
926,1
927,0
928,1
929,0
930,1
931,0
932,1
933,1
934,0
935,0
936,0
937,0
938,1
939,0
940,0
941,0
942,1
943,1
944,1
945,1
946,0
947,1
948,1
949,0
950,1
951,0
952,0
953,0
954,0
955,1
956,1
957,1
958,0
959,1
960,0
961,0
962,0
963,1
964,1
965,1
966,0
967,0
968,1
969,0
970,1
971,1
972,1
973,0
974,1
975,0
976,0
977,1
978,1
979,1
980,1
981,0
982,0
983,1
984,0
985,0
986,0
987,0
988,0
989,1
990,0
991,1
992,1
993,1
994,1
995,0
996,0
997,1
998,1
999,0
1000,1
1001,1
1002,0
1003,1
1004,0
1005,1
1006,0
1007,0
1008,1
1009,0
1010,0
1011,1
1012,0
1013,0
1014,1
1015,1
1016,0
1017,0
1018,1
1019,1
1020,0
1021,0
1022,0
1023,0
1024,0
1025,1
1026,0
1027,0
1028,0
1029,1
1030,0
1031,1
1032,1
1033,0
1034,0
1035,1
1036,1
1037,1
1038,1
1039,1
1040,0
1041,0
1042,0
1043,0
1044,1
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,1
1055,0
1056,0
1057,1
1058,1
1059,0
1060,0
1061,1
1062,0
1063,1
1064,1
1065,0
1066,0
1067,0
1068,1
1069,1
1070,1
1071,1
1072,1
1073,0
1074,0
1075,0
1076,1
1077,1
1078,0
1079,0
1080,0
1081,0
1082,1
1083,0
1084,1
1085,0
1086,1
1087,1
1088,0
1089,0
1090,1
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,1
1098,1
1099,1
1100,0
1101,1
1102,0
1103,0
1104,1
1105,0
1106,1
1107,1
1108,1
1109,1
1110,1
1111,1
1112,0
1113,0
1114,1
1115,0
1116,0
1117,0
1118,1
1119,0
1120,0
1121,1
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,1
1130,0
1131,0
1132,0
1133,0
1134,1
1135,1
1136,1
1137,0
1138,1
1139,0
1140,1
1141,1
1142,0
1143,1
1144,1
1145,1
1146,0
1147,0
1148,1
1149,0
1150,0
1151,0
1152,1
1153,0
1154,1
1155,0
1156,0
1157,1
1158,1
1159,0
1160,1
1161,1
1162,0
1163,1
1164,0
1165,0
1166,1
1167,0
1168,0
1169,0
1170,1
1171,1
1172,0
1173,1
1174,0
1175,1
1176,1
1177,1
1178,0
1179,0
1180,1
1181,1
1182,0
1183,0
1184,1
1185,0
1186,1
1187,0
1188,1
1189,1
1190,0
1191,0
1192,0
1193,0
1194,0
1195,1
1196,0
1197,1
1198,0
1199,0
1200,1
1201,1
1202,0
1203,1
1204,0
1205,0
1206,0
1207,1
1208,1
1209,0
1210,0
1211,0
1212,0
1213,1
1214,0
1215,0
1216,1
1217,1
1218,0
1219,1
1220,0
1221,0
1222,1
1223,0
1224,1
1225,0
1226,0
1227,1
1228,1
1229,1
1230,0
1231,0
1232,0
1233,0
1234,1
1235,1
1236,1
1237,0
1238,1
1239,1
1240,1
1241,1
1242,0
1243,0
1244,1
1245,0
1246,1
1247,0
1248,0
1249,1
1250,1
1251,1
1252,1
1253,0
1254,1
1255,0
1256,1
1257,0
1258,1
1259,0
1260,0
1261,1
1262,1
1263,0
1264,1
1265,1
1266,0
1267,1
1268,1
1269,1
1270,1
1271,1
1272,1
1273,0
1274,0
1275,1
1276,1
1277,0
1278,1
1279,1
1280,0
1281,1
1282,1
1283,0
1284,1
1285,1
1286,1
1287,1
1288,1
1289,0
1290,1
1291,0
1292,0
1293,1
1294,1
1295,0
1296,0
1297,1
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,1
1305,0
1306,1
1307,1
1308,0
1309,1
